Name;Version;God_Class;Lazy_Class;Complex_Class;Large_Class;Refused_Request;Data_Class;Feature_Envy;Brain_Class;Hub_Like_Dependency;Class_Cyclic_Dependency;Unhealthy_Inheritance_Hierarchy;Long_Method;Long_Parameter_List;Shotgun_Surgery;Brain_Method;Unstable_Dependency;Package_Cyclic_Dependency;Total;Distinct_Count
hudson.cli.ListChangesCommand;;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;4;4
hudson.scm.ChangeLogSet;;0;0;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0;6;6
hudson.scm.ChangeLogSet.Entry;;0;0;0;0;0;1;0;0;0;0;0;2;3;0;0;0;0;6;3
hudson.cli.ListJobsCommand;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
hudson.cli.ListPluginsCommand;;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;3;2
hudson.model.UpdateSite.Entry;;0;0;0;1;0;1;1;0;0;0;0;1;2;0;0;1;0;7;6
hudson.cli.OfflineNodeCommand;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
hudson.cli.OnlineNodeCommand;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
hudson.cli.QuietDownCommand;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.ReloadConfigurationCommand;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
hudson.util.HudsonIsLoading;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2
hudson.util.JenkinsReloadFailed;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2
hudson.cli.ReloadJobCommand;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
hudson.cli.RemoveJobFromViewCommand;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
hudson.cli.SessionIdCommand;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.SetBuildDescriptionCommand;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
hudson.cli.SetBuildDisplayNameCommand;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2
hudson.cli.UpdateJobCommand;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.UpdateNodeCommand;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.UpdateViewCommand;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.VersionCommand;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.WaitNodeOfflineCommand;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.cli.WaitNodeOnlineCommand;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.CloseProofOutputStream;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
hudson.util.DelegatingOutputStream;;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;3;3
jenkins.security.CryptoConfidentialKey;;0;0;0;1;1;1;1;0;0;0;0;5;5;0;0;0;0;14;6
hudson.console.ConsoleAnnotator;;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;2
hudson.console.ConsoleAnnotationOutputStream;;0;0;0;1;0;1;0;0;0;0;0;1;2;0;0;0;0;5;4
hudson.console.PlainTextConsoleOutputStream;;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;3;2
hudson.console.ConsoleAnnotationDescriptor;;0;0;0;0;0;1;0;0;1;0;0;0;3;0;0;0;0;5;3
hudson.DescriptorExtensionList;;0;0;0;1;0;1;1;0;0;0;1;5;6;0;0;0;0;15;6
hudson.model.Descriptor;;1;0;0;1;0;0;1;0;0;0;0;19;35;6;0;1;0;64;7
hudson.console.ConsoleNote;;0;0;0;1;0;1;1;0;1;0;0;5;6;0;0;0;0;15;6
hudson.console.ConsoleAnnotationOutputStream.LineBuffer;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jenkins.util.SourceCodeEscapers;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1
hudson.console.LineTransformationOutputStream;;0;0;0;1;0;1;0;0;0;0;0;3;1;0;0;0;0;6;4
hudson.console.ConsoleAnnotator.ConsoleAnnotatorAggregator;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
hudson.console.ConsoleAnnotatorFactory;;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;4;2
hudson.console.ConsoleLogFilter;;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;4;3
hudson.tasks.BuildWrapper;;0;0;0;0;1;1;0;0;1;0;1;1;2;0;0;0;0;7;6
hudson.util.ArgumentListBuilder;;1;0;1;1;0;0;0;0;0;0;0;8;19;2;0;0;1;33;7
jenkins.util.JenkinsJVM;;0;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;0;4;3
jenkins.security.HMACConfidentialKey;;0;0;0;1;1;1;1;0;0;0;0;4;9;0;0;0;0;17;6
hudson.console.ExpandableDetailsNote;;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;4;3
hudson.console.ExpandableDetailsNote.DescriptorImpl;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
hudson.console.HyperlinkNote;;0;0;0;0;0;1;0;0;0;0;0;2;3;0;0;0;0;6;3
hudson.console.HyperlinkNote.DescriptorImpl;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
hudson.console.LineTransformationOutputStream.Delegating;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hudson.util.ByteArrayOutputStream2;;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;4;4
hudson.console.ModelHyperlinkNote.DescriptorImpl;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
hudson.model.Label;;1;0;0;1;1;0;1;0;1;1;1;14;17;1;0;1;0;40;11
hudson.console.UrlAnnotator;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1
hudson.console.UrlAnnotator.UrlConsoleAnnotator;;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;3;3
hudson.DependencyRunner;;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;2
hudson.model.Descriptor.FormException;;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;1;0;5;4
hudson.model.ViewDescriptor;;0;0;0;1;0;1;0;0;0;1;0;4;0;0;0;1;0;8;5
hudson.slaves.NodeDescriptor;;0;0;0;0;0;1;0;0;1;0;0;1;2;0;0;0;0;5;4
hudson.tasks.Publisher;;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;3;3
hudson.util.AdaptedIterator;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;2
hudson.util.Iterators.FlattenIterator;;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;3;3
hudson.util.Iterators;;0;0;0;1;0;1;0;0;0;0;0;9;7;0;0;0;1;19;5
hudson.tasks.Publisher.DescriptorExtensionListImpl;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
hudson.diagnosis.HudsonHomeDiskUsageChecker;;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1
hudson.model.PeriodicWork;;0;0;0;0;1;1;1;0;1;0;0;1;2;0;0;1;0;8;7
hudson.diagnosis.HudsonHomeDiskUsageMonitor;;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;3;3
